Index,Species,Bin,ef
110,CO,15,0.02738119
110,CO,16,0.027626737
110,CO,17,0.02177787
110,CO,18,0.025299094
110,CO,19,0.024338838
110,CO,20,0.03642445
110,CO,21,0.032425131
110,CO,22,0.046475319
110,CO,23,0.038011252
110,HC,15,0.072521578
110,HC,16,0.078360654
110,HC,17,0.080017381
110,HC,18,0.109974147
110,HC,19,0.097488523
110,HC,20,0.088134147
110,HC,21,0.091682922
110,HC,22,0.075742071
110,HC,23,0.089920344
110,NOx,15,0.12992237
110,NOx,16,0.150650356
110,NOx,17,0.089393371
110,NOx,18,0.264257907
110,NOx,19,0.179661803
110,NOx,20,0.174748882
110,NOx,21,0.20331799
110,NOx,22,0.072616727
110,NOx,23,0.070319144
110,PM2.5,15,0.006463425
110,PM2.5,16,0.008017297
110,PM2.5,17,0.007478498
110,PM2.5,18,0.005516793
110,PM2.5,19,0.008440877
110,PM2.5,20,0.015695091
110,PM2.5,21,0.013313896
110,PM2.5,22,0.014580455
110,PM2.5,23,0.030729873
111,CO,17,0.0278199
111,CO,18,0.03231805
111,CO,19,0.031091381
111,CO,20,0.046530014
111,CO,21,0.041421128
111,CO,22,0.059369387
111,CO,23,0.048557056
111,HC,17,0.077842373
111,HC,18,0.106984864
111,HC,19,0.09483862
111,HC,20,0.085738512
111,HC,21,0.089190825
111,HC,22,0.073683274
111,HC,23,0.087476157
111,NOx,17,0.073784585
111,NOx,18,0.218116396
111,NOx,19,0.148291438
111,NOx,20,0.144236352
111,NOx,21,0.167817069
111,NOx,22,0.059937275
111,NOx,23,0.058040868
111,PM2.5,17,0.004624634
111,PM2.5,18,0.003411534
111,PM2.5,19,0.005219761
111,PM2.5,20,0.0097057
111,PM2.5,21,0.008233191
111,PM2.5,22,0.009016419
111,PM2.5,23,0.019003071
112,CO,18,0.024836306
112,CO,19,0.023893615
112,CO,20,0.035758149
112,CO,21,0.031831988
112,CO,22,0.045625161
112,CO,23,0.037315924
112,HC,18,0.068438847
112,HC,19,0.060668823
112,HC,20,0.05484743
112,HC,21,0.057055896
112,HC,22,0.047135624
112,HC,23,0.055959012
112,NOx,18,0.218116396
112,NOx,19,0.148291438
112,NOx,20,0.144236352
112,NOx,21,0.167817069
112,NOx,22,0.059937275
112,NOx,23,0.058040868
112,PM2.5,18,0.003310076
112,PM2.5,19,0.005064526
112,PM2.5,20,0.009417055
112,PM2.5,21,0.007988337
112,PM2.5,22,0.008748273
112,PM2.5,23,0.018437924
113,CO,1,0.002688149
113,CO,10,0.006953488
113,CO,11,0.007626646
113,CO,12,0.008784249
113,CO,13,0.009570001
113,CO,14,0.012122617
113,CO,15,0.015694097
113,CO,16,0.015834837
113,CO,17,0.012482437
113,CO,18,0.0145007
113,CO,19,0.013950309
113,CO,2,0.003694151
113,CO,20,0.020877429
113,CO,21,0.018585136
113,CO,22,0.026638293
113,CO,23,0.021786937
113,CO,3,0.005592846
113,CO,4,0.007190677
113,CO,5,0.007745646
113,CO,6,0.009270015
113,CO,7,0.010786148
113,CO,8,0.015058834
113,CO,9,0.00492203
113,HC,1,0.003983417
113,HC,10,0.009260794
113,HC,11,0.010428307
113,HC,12,0.011651088
113,HC,13,0.012486888
113,HC,14,0.012667305
113,HC,15,0.012726724
113,HC,16,0.013751417
113,HC,17,0.014042154
113,HC,18,0.01929923
113,HC,19,0.017108143
113,HC,2,0.003267156
113,HC,20,0.015466555
113,HC,21,0.016089325
113,HC,22,0.013291885
113,HC,23,0.015780013
113,HC,3,0.006761208
113,HC,4,0.00767657
113,HC,5,0.008687838
113,HC,6,0.010180734
113,HC,7,0.011722113
113,HC,8,0.012407341
113,HC,9,0.007246958
113,NOx,1,0.008310375
113,NOx,10,0.034163032
113,NOx,11,0.041493346
113,NOx,12,0.045292008
113,NOx,13,0.052298261
113,NOx,14,0.061564508
113,NOx,15,0.072382025
113,NOx,16,0.083929948
113,NOx,17,0.049802611
113,NOx,18,0.147222702
113,NOx,19,0.100092733
113,NOx,2,0.006759523
113,NOx,20,0.097355659
113,NOx,21,0.113272008
113,NOx,22,0.040456049
113,NOx,23,0.039176025
113,NOx,3,0.016094009
113,NOx,4,0.022038934
113,NOx,5,0.025985281
113,NOx,6,0.03259014
113,NOx,7,0.044109066
113,NOx,8,0.05097556
113,NOx,9,0.019587548
113,PM2.5,1,0.000195512
113,PM2.5,10,0.000547455
113,PM2.5,11,0.000663694
113,PM2.5,12,0.000744204
113,PM2.5,13,0.000918796
113,PM2.5,14,0.001395987
113,PM2.5,15,0.001931598
113,PM2.5,16,0.002395974
113,PM2.5,17,0.002234953
113,PM2.5,18,0.001648697
113,PM2.5,19,0.002522561
113,PM2.5,2,0.000138472
113,PM2.5,20,0.004690487
113,PM2.5,21,0.003978865
113,PM2.5,22,0.004357377
113,PM2.5,23,0.00918364
113,PM2.5,3,0.000273599
113,PM2.5,4,0.00035096
113,PM2.5,5,0.000450453
113,PM2.5,6,0.000642336
113,PM2.5,7,0.001098842
113,PM2.5,8,0.001511383
113,PM2.5,9,0.000441364
114,CO,1,0.002116202
114,CO,10,0.005474022
114,CO,11,0.006003955
114,CO,12,0.00691526
114,CO,13,0.007533831
114,CO,14,0.009543337
114,CO,15,0.012354927
114,CO,16,0.012465723
114,CO,17,0.0098266
114,CO,18,0.011415445
114,CO,19,0.010982158
114,CO,2,0.002908162
114,CO,20,0.016435423
114,CO,21,0.014630852
114,CO,22,0.020970571
114,CO,23,0.017151419
114,CO,3,0.004402879
114,CO,4,0.005660746
114,CO,5,0.006097636
114,CO,6,0.007297671
114,CO,7,0.008491223
114,CO,8,0.011854826
114,CO,9,0.00387479
114,HC,1,0.002013357
114,HC,10,0.004680727
114,HC,11,0.005270829
114,HC,12,0.005888865
114,HC,13,0.006311308
114,HC,14,0.006402496
114,HC,15,0.006432529
114,HC,16,0.006950444
114,HC,17,0.007097393
114,HC,18,0.009754502
114,HC,19,0.008647051
114,HC,2,0.001651334
114,HC,20,0.007817335
114,HC,21,0.008132105
114,HC,22,0.006718181
114,HC,23,0.007975767
114,HC,3,0.00341735
114,HC,4,0.003880006
114,HC,5,0.004391135
114,HC,6,0.005145697
114,HC,7,0.005924764
114,HC,8,0.006271102
114,HC,9,0.003662865
114,NOx,1,0.005818366
114,NOx,10,0.02391866
114,NOx,11,0.029050852
114,NOx,12,0.031710421
114,NOx,13,0.036615728
114,NOx,14,0.043103332
114,NOx,15,0.05067703
114,NOx,16,0.05876211
114,NOx,17,0.034868441
114,NOx,18,0.103075443
114,NOx,19,0.070078206
114,NOx,2,0.004732564
114,NOx,20,0.06816189
114,NOx,21,0.079305449
114,NOx,22,0.028324607
114,NOx,23,0.02742842
114,NOx,3,0.011267944
114,NOx,4,0.015430181
114,NOx,5,0.018193148
114,NOx,6,0.022817426
114,NOx,7,0.030882204
114,NOx,8,0.035689661
114,NOx,9,0.013713885
114,PM2.5,1,8.72E-05
114,PM2.5,10,0.000244249
114,PM2.5,11,0.000296109
114,PM2.5,12,0.000332029
114,PM2.5,13,0.000409924
114,PM2.5,14,0.000622825
114,PM2.5,15,0.00086179
114,PM2.5,16,0.001068973
114,PM2.5,17,0.000997133
114,PM2.5,18,0.000735572
114,PM2.5,19,0.00112545
114,PM2.5,2,6.18E-05
114,PM2.5,20,0.002092679
114,PM2.5,21,0.001775186
114,PM2.5,22,0.001944061
114,PM2.5,23,0.004097316
114,PM2.5,3,0.000122067
114,PM2.5,4,0.000156582
114,PM2.5,5,0.000200971
114,PM2.5,6,0.000286581
114,PM2.5,7,0.000490253
114,PM2.5,8,0.00067431
114,PM2.5,9,0.000196916
115,CO,1,0.002116202
115,CO,10,0.005474022
115,CO,11,0.006003955
115,CO,12,0.00691526
115,CO,13,0.007533831
115,CO,14,0.009543337
115,CO,15,0.012354927
115,CO,16,0.012465723
115,CO,17,0.0098266
115,CO,18,0.011415445
115,CO,19,0.010982158
115,CO,2,0.002908162
115,CO,20,0.016435423
115,CO,21,0.014630852
115,CO,22,0.020970571
115,CO,23,0.017151419
115,CO,3,0.004402879
115,CO,4,0.005660746
115,CO,5,0.006097636
115,CO,6,0.007297671
115,CO,7,0.008491223
115,CO,8,0.011854826
115,CO,9,0.00387479
115,HC,1,0.002013357
115,HC,10,0.004680727
115,HC,11,0.005270829
115,HC,12,0.005888865
115,HC,13,0.006311308
115,HC,14,0.006402496
115,HC,15,0.006432529
115,HC,16,0.006950444
115,HC,17,0.007097393
115,HC,18,0.009754502
115,HC,19,0.008647051
115,HC,2,0.001651334
115,HC,20,0.007817335
115,HC,21,0.008132105
115,HC,22,0.006718181
115,HC,23,0.007975767
115,HC,3,0.00341735
115,HC,4,0.003880006
115,HC,5,0.004391135
115,HC,6,0.005145697
115,HC,7,0.005924764
115,HC,8,0.006271102
115,HC,9,0.003662865
115,NOx,1,0.004944287
115,NOx,10,0.020325416
115,NOx,11,0.024686612
115,NOx,12,0.02694664
115,NOx,13,0.031115034
115,NOx,14,0.036628021
115,NOx,15,0.04306394
115,NOx,16,0.049934418
115,NOx,17,0.029630238
115,NOx,18,0.087590665
115,NOx,19,0.059550524
115,NOx,2,0.004021602
115,NOx,20,0.057922092
115,NOx,21,0.06739158
115,NOx,22,0.024069468
115,NOx,23,0.023307914
115,NOx,3,0.009575188
115,NOx,4,0.013112141
115,NOx,5,0.015460035
115,NOx,6,0.019389619
115,NOx,7,0.026242844
115,NOx,8,0.030328089
115,NOx,9,0.011653681
115,PM2.5,1,1.80E-05
115,PM2.5,10,5.05E-05
115,PM2.5,11,6.13E-05
115,PM2.5,12,6.87E-05
115,PM2.5,13,8.48E-05
115,PM2.5,14,0.00012886
115,PM2.5,15,0.000178301
115,PM2.5,16,0.000221167
115,PM2.5,17,0.000206303
115,PM2.5,18,0.000152187
115,PM2.5,19,0.000232852
115,PM2.5,2,1.28E-05
115,PM2.5,20,0.000432968
115,PM2.5,21,0.00036728
115,PM2.5,22,0.000402219
115,PM2.5,23,0.000847721
115,PM2.5,3,2.53E-05
115,PM2.5,4,3.24E-05
115,PM2.5,5,4.16E-05
115,PM2.5,6,5.93E-05
115,PM2.5,7,0.000101432
115,PM2.5,8,0.000139512
115,PM2.5,9,4.07E-05
120,CO,18,0.092943319
120,CO,19,0.089415546
120,CO,20,0.133815435
120,CO,21,0.119122813
120,CO,22,0.170740122
120,CO,23,0.139644995
120,HC,18,0.186699077
120,HC,19,0.16550269
120,HC,20,0.149622109
120,HC,21,0.155646734
120,HC,22,0.128584536
120,HC,23,0.15265447
120,NOx,18,0.421608279
120,NOx,19,0.286640066
120,NOx,20,0.278801783
120,NOx,21,0.32438215
120,NOx,22,0.115855807
120,NOx,23,0.112190147
120,PM2.5,18,0.016765976
120,PM2.5,19,0.025652506
120,PM2.5,20,0.047698645
120,PM2.5,21,0.040462
120,PM2.5,22,0.044311177
120,PM2.5,23,0.093390557
123,CO,1,0.002988421
123,CO,10,0.007730207
123,CO,11,0.008478558
123,CO,12,0.009765468
123,CO,13,0.01063899
123,CO,14,0.013476739
123,CO,15,0.017447161
123,CO,16,0.017603622
123,CO,17,0.013876752
123,CO,18,0.016120459
123,CO,19,0.015508589
123,CO,2,0.004106796
123,CO,20,0.023209482
123,CO,21,0.020661135
123,CO,22,0.029613847
123,CO,23,0.024220584
123,CO,3,0.006217579
123,CO,4,0.007993891
123,CO,5,0.008610851
123,CO,6,0.010305495
123,CO,7,0.011990983
123,CO,8,0.016740937
123,CO,9,0.005471831
123,HC,1,0.002197374
123,HC,10,0.005108536
123,HC,11,0.005752571
123,HC,12,0.006427095
123,HC,13,0.006888147
123,HC,14,0.006987671
123,HC,15,0.007020448
123,HC,16,0.0075857
123,HC,17,0.007746079
123,HC,18,0.010646043
123,HC,19,0.009437373
123,HC,2,0.001802263
123,HC,20,0.008531822
123,HC,21,0.008875362
123,HC,22,0.007332208
123,HC,23,0.008704735
123,HC,3,0.003729688
123,HC,4,0.00423463
123,HC,5,0.004792476
123,HC,6,0.005616003
123,HC,7,0.006466275
123,HC,8,0.006844267
123,HC,9,0.003997643
123,NOx,1,0.013731433
123,NOx,10,0.056448399
123,NOx,11,0.068560453
123,NOx,12,0.074837074
123,NOx,13,0.086413673
123,NOx,14,0.101724517
123,NOx,15,0.11959856
123,NOx,16,0.138679471
123,NOx,17,0.082290051
123,NOx,18,0.243259609
123,NOx,19,0.165385629
123,NOx,2,0.011168922
123,NOx,20,0.160863095
123,NOx,21,0.187162062
123,NOx,22,0.066846501
123,NOx,23,0.064731488
